129 129 0 0.303841 0.279754 0.0481745
130 130 0 0.302727 0.281231 0.0429932
131 131 0 0.303441 0.28013 0.0466222
132 132 0 0.301415 0.282578 0.0376733
133 133 0 0.303656 0.281305 0.044703
134 134 0 0.304847 0.280833 0.0480282
135 135 0 0.304153 0.281466 0.0453736
136 136 0 0.302128 0.283278 0.0377008
137 137 0 0.302429 0.283052 0.0387545
138 138 0 0.303136 0.282381 0.0415101
139 139 0 0.303035 0.282316 0.0414391
140 140 0 0.303864 0.281566 0.0445966
141 141 0 0.303628 0.281892 0.0434718
142 142 0 0.301599 0.283957 0.0352841
143 143 0 0.301382 0.283713 0.0353379
144 144 0 0.302393 0.283044 0.0386981
145 145 0 0.303939 0.281827 0.0442236
146 146 0 0.303476 0.282042 0.0428683
147 147 0 0.305522 0.280355 0.0503355
148 148 0 0.305743 0.280081 0.0513237
149 149 0 0.306673 0.279161 0.0550247
150 150 0 0.307314 0.278776 0.0570752
151 151 0 0.309807 0.277066 0.0654826
152 152 0 0.310409 0.276459 0.0679002
153 153 0 0.309416 0.27736 0.0641132
154 154 0 0.309769 0.277219 0.0651002
155 155 0 0.310354 0.276883 0.066942
156 156 0 0.310037 0.276603 0.0668667
157 157 0 0.31395 0.273291 0.0813169
158 158 0 0.313827 0.273066 0.0815214
159 159 0 0.314471 0.272941 0.0830616
160 160 0 0.315417 0.271669 0.0874951
161 161 0 0.315982 0.272022 0.0879201
162 162 0 0.316756 0.271274 0.0909632
163 163 0 0.3159 0.272364 0.0870717
164 164 0 0.314723 0.273625 0.0821956
165 165 0 0.314917 0.273609 0.0826149
166 166 0 0.315229 0.273766 0.0829273
167 167 0 0.315838 0.272459 0.0867576
168 168 0 0.315396 0.272956 0.0848783
169 169 0 0.314902 0.273633 0.0825375
170 170 0 0.314819 0.273428 0.0827833
171 171 0 0.314853 0.273417 0.0828731
172 172 0 0.315563 0.273376 0.0843753
173 173 0 0.314464 0.274384 0.0801614
174 174 0 0.315721 0.273571 0.0842999
175 175 0 0.315156 0.273999 0.0823131
176 176 0 0.315263 0.274069 0.0823886
177 177 0 0.314495 0.274696 0.0795978
178 178 0 0.314275 0.274616 0.0793182
179 179 0 0.312861 0.275741 0.0742386
180 180 0 0.312238 0.276616 0.0712431
181 181 0 0.311736 0.277074 0.0693239
182 182 0 0.312144 0.276646 0.0709952
183 183 0 0.313567 0.275886 0.0753624
184 184 0 0.312486 0.277201 0.0705697
185 185 0 0.311369 0.277925 0.066888
186 186 0 0.310215 0.278601 0.0632281
187 187 0 0.308937 0.279441 0.0589918
188 188 0 0.309455 0.279025 0.0608593
189 189 0 0.308637 0.279622 0.0580318
190 190 0 0.307969 0.28054 0.0548578
191 191 0 0.308808 0.280675 0.0562642
