0 0 8.01804e-05 
0.261799 -0.15115 0.00014898 
0.523599 -0.3023 3.64672e-05 
0.785398 -0.45345 4.8415e-05 
1.0472 -0.6046 0.000297509 
1.309 -0.75575 5.10407e-06 
1.5708 -0.9069 5.0265e-05 
1.8326 -1.05805 8.40715e-05 
2.0944 -1.2092 6.56313e-05 
2.35619 -1.36035 4.52285e-06 
2.61799 -1.5115 1.19633e-05 
2.87979 -1.66265 6.18082e-06 
3.14159 -1.8138 863.96 
3.40339 -1.96495 1.80814e-05 
3.66519 -2.1161 2.74668e-05 
3.92699 -2.26725 1.09682e-05 
4.18879 -2.4184 2.34173e-05 
4.45059 -2.56955 3.63881e-05 
4.71239 -2.7207 5.22411e-05 
4.97419 -2.87185 1.70569e-05 
5.23599 -3.023 8.29179e-05 
5.49779 -3.17415 2.52704e-05 
5.75959 -3.3253 3.00993e-05 
6.02139 -3.47645 2.27981e-05 
0 0.3023 6.45528e-05 
0.261799 0.15115 5.65121e-05 
0.523599 0 0.000323829 
0.785398 -0.15115 0.000134949 
1.0472 -0.3023 6.13725e-05 
1.309 -0.45345 5.55208e-05 
1.5708 -0.6046 6.06988e-05 
1.8326 -0.75575 3.71999e-05 
2.0944 -0.9069 0.00011823 
2.35619 -1.05805 3.13991e-05 
2.61799 -1.2092 3.51062e-05 
2.87979 -1.36035 2.12264e-05 
3.14159 -1.5115 1.23425e-05 
3.40339 -1.66265 3.09538e-05 
3.66519 -1.8138 9.00198e-05 
3.92699 -1.96495 4.43634e-05 
4.18879 -2.1161 2.41513e-05 
4.45059 -2.26725 6.89086e-06 
4.71239 -2.4184 0.000102672 
4.97419 -2.56955 4.65086e-06 
5.23599 -2.7207 2.08408e-05 
5.49779 -2.87185 3.87596e-05 
5.75959 -3.023 2.28345e-05 
6.02139 -3.17415 1.57663e-05 
0 0.6046 0.00022359 
0.261799 0.45345 0.000135785 
0.523599 0.3023 9.57957e-05 
0.785398 0.15115 5.87842e-05 
1.0472 0 4.9164e-05 
1.309 -0.15115 5.07628e-05 
1.5708 -0.3023 2.95758e-05 
1.8326 -0.45345 1.8482e-05 
2.0944 -0.6046 9.96871e-05 
2.35619 -0.75575 0.000127704 
2.61799 -0.9069 3.63637e-05 
2.87979 -1.05805 4.75004e-05 
3.14159 -1.2092 1.73825e-05 
3.40339 -1.36035 5.9596e-05 
3.66519 -1.5115 1.12936e-05 
3.92699 -1.66265 6.19262e-06 
4.18879 -1.8138 2.88103e-05 
4.45059 -1.96495 1.73425e-05 
4.71239 -2.1161 5.72253e-06 
4.97419 -2.26725 4.79593e-05 
5.23599 -2.4184 2.13995e-05 
5.49779 -2.56955 3.47628e-05 
5.75959 -2.7207 5.473e-05 
6.02139 -2.87185 1.69187e-05 
